Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,precio_promedio
Sistema,Sistema,124.68727,124.68727,124.28027,124.68727,124.68727,115.84427,114.68727,114.68727,114.68727,114.68727,114.68727,115.84427,115.84427,115.84427,115.84427,115.84427,114.68727,124.68727,128.68727,129.68727,128.68727,124.68727,124.68727,124.68727,2010-01-01,120.5012283333333
Sistema,Sistema,114.50334,112.50334,112.50334,112.50334,112.50334,112.50334,112.50334,114.31134,114.50334,115.50334,115.50334,115.50334,115.50334,115.50334,115.50334,115.50334,114.50334,114.50334,145.50334,150.50334,130.50334,130.50334,115.50334,115.50334,2010-01-02,118.49534000000006
Sistema,Sistema,112.79027,112.79027,112.79027,112.68727,112.68727,112.68727,97.68727,112.68727,113.49527,113.49527,113.49527,113.68727,114.68727,119.68727,113.49527,113.68727,113.49527,113.68727,129.68727,199.68727,199.68727,119.68727,114.68727,114.68727,2010-01-03,121.16014499999994
Sistema,Sistema,112.58727,112.54127,112.54127,112.58727,112.58727,112.58727,112.58727,113.49527,113.58727,113.58727,115.68727,115.68727,115.68727,115.68727,115.68727,115.68727,115.68727,113.68727,130.68727,305.68727,130.68727,129.68727,113.58727,112.58727,2010-01-04,123.96293666666662
Sistema,Sistema,113.58727,113.58727,113.58727,113.58727,113.58727,114.68727,114.68727,114.68727,117.68727,117.68727,117.68727,117.68727,117.68727,117.68727,117.68727,117.68727,117.68727,117.68727,129.68727,209.68727,117.68727,117.68727,117.68727,114.68727,2010-01-05,120.6664366666666
Sistema,Sistema,113.63727,113.63727,113.63727,113.63727,113.63727,113.63727,113.63727,118.68727,118.68727,119.18727,119.18727,119.18727,119.18727,119.18727,119.18727,119.18727,119.18727,119.18727,129.68727,305.68727,129.68727,119.18727,118.68727,113.63727,2010-01-06,125.92060333333329
Sistema,Sistema,114.95106,112.83606,112.83606,112.83606,112.83606,114.95106,117.95106,117.95106,124.95106,124.95106,124.95106,124.95106,124.95106,124.95106,124.95106,124.95106,124.95106,124.95106,199.95106,199.95106,199.95106,124.95106,124.95106,123.30206,2010-01-07,130.82151833333333
Sistema,Sistema,149.68727,140.68727,124.48727,124.48727,124.48727,124.48727,140.68727,140.68727,140.68727,149.68727,149.68727,174.68727,174.68727,149.68727,149.68727,149.68727,149.68727,149.68727,199.68727,199.68727,199.68727,201.68727,140.68727,124.64527,2010-01-08,153.06885333333327
Sistema,Sistema,150.68727,124.74727,124.74727,124.74727,124.74727,125.61927,125.61927,150.68727,150.68727,150.68727,150.68727,150.68727,174.68727,150.68727,150.68727,150.68727,150.68727,150.68727,189.68727,201.68727,189.68727,174.68727,150.68727,150.68727,2010-01-09,151.6499366666666
Sistema,Sistema,199.68727,199.68727,199.68727,198.68727,198.68727,198.68727,189.68727,189.68727,198.68727,198.68727,199.68727,199.68727,199.68727,199.68727,199.68727,199.68727,199.68727,199.68727,200.68727,200.68727,200.68727,200.68727,200.68727,199.68727,2010-01-10,198.85393666666667
Sistema,Sistema,199.68727,198.68727,189.68727,189.68727,189.68727,189.68727,189.68727,189.68727,198.68727,199.68727,199.68727,199.68727,199.68727,200.68727,199.68727,199.68727,199.68727,199.68727,214.68727,215.68727,215.68727,214.68727,202.68727,199.68727,2010-01-11,199.85393666666667
Sistema,Sistema,159.35727,120.63527,117.79327,112.59627,120.63527,120.63527,124.48327,175.68727,188.68727,196.68727,196.68727,196.68727,196.68727,196.68727,196.68727,196.68727,196.68727,196.68727,196.68727,197.68727,196.68727,196.68727,188.68727,175.68727,2010-01-12,173.4508116666666
Sistema,Sistema,124.75827,120.98227,117.79927,112.75327,123.50827,150.38927,179.69327,179.69327,179.69327,195.69327,195.69327,195.69327,195.69327,195.69327,195.69327,195.69327,195.69327,188.69327,209.69327,229.69327,209.69327,195.69327,188.69327,179.69327,2010-01-13,177.36122833333343
Sistema,Sistema,169.68727,169.68727,169.68727,169.68727,169.68727,178.68727,172.68727,178.68727,187.68727,206.68727,201.68727,201.68727,201.68727,201.68727,201.68727,201.68727,187.68727,187.68727,206.68727,206.68727,206.68727,201.68727,187.68727,178.68727,2010-01-14,189.43726999999998
Sistema,Sistema,169.68727,150.49727,120.83227,117.79327,123.59127,168.68727,169.68727,169.68727,172.68727,178.48727,178.78727,178.78727,178.78727,178.78727,178.78727,178.78727,178.48727,178.48727,178.78727,178.78727,178.78727,178.78727,178.48727,169.68727,2010-01-15,168.11081166666662
Sistema,Sistema,163.68727,163.68727,163.68727,163.68727,163.68727,163.68727,164.68727,164.68727,164.68727,164.68727,172.68727,172.68727,172.68727,164.68727,164.68727,164.68727,164.68727,164.68727,199.68727,203.68727,172.68727,164.68727,164.68727,164.68727,2010-01-16,168.8539366666666
Sistema,Sistema,170.18727,170.18727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,170.18727,170.18727,170.18727,170.18727,170.18727,159.68727,159.68727,159.68727,170.18727,172.68727,172.68727,170.18727,170.18727,170.18727,2010-01-17,165.58310333333327
Sistema,Sistema,154.68727,154.68727,154.68727,154.68727,154.68727,157.68727,157.68727,159.68727,174.68727,172.68727,174.68727,209.68727,209.68727,174.68727,174.68727,174.68727,174.68727,172.68727,209.68727,239.68727,174.68727,174.68727,159.68727,159.68727,2010-01-18,174.14560333333327
Sistema,Sistema,123.80827,117.79327,117.79327,117.79327,117.79327,157.68727,157.68727,159.68727,159.68727,173.18727,173.18727,173.18727,173.18727,173.18727,173.18727,173.18727,173.18727,169.68627,173.18727,194.68727,173.18727,173.18727,173.18727,159.68727,2010-01-19,159.66826999999995
Sistema,Sistema,159.68627,157.68727,157.68727,157.68727,157.68727,159.68627,159.68627,159.68727,168.68727,168.68727,168.68727,168.68727,168.68727,168.68727,168.68727,168.68727,168.68727,168.68727,207.68727,207.68727,168.68727,168.68727,168.68727,159.68627,2010-01-20,168.22876999999994
Sistema,Sistema,116.97727,112.07427,112.07427,112.07427,112.07427,122.84027,151.97927,157.68727,159.68727,159.68727,160.68727,160.68727,160.68727,160.68727,160.68727,160.68727,160.68727,159.68727,160.68727,160.68727,160.68727,160.68727,159.68727,157.68727,2010-01-21,148.40739499999995
Sistema,Sistema,112.44227,112.44227,112.44227,112.44227,112.44227,116.77427,123.30627,157.68727,159.68627,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,163.68727,163.68727,163.68727,159.68727,159.68627,124.08627,2010-01-22,145.47385333333327
Sistema,Sistema,139.68727,139.68727,139.68727,139.68727,139.68727,139.68727,139.68727,157.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,159.68727,164.68727,207.68727,164.68727,164.68727,159.68727,157.68727,2010-01-23,156.31226999999993
Sistema,Sistema,147.68727,147.68727,147.68727,157.68727,144.68727,144.68727,144.68727,144.68727,147.68727,147.68727,157.68727,157.68727,157.68727,157.68727,157.68727,157.68727,147.68727,157.68727,165.68727,165.68727,165.68727,165.68727,157.68727,147.68727,2010-01-24,153.93726999999993
Sistema,Sistema,138.68727,122.67427,123.87727,122.67427,125.13527,169.58727,149.68727,149.68727,169.58727,170.68727,170.68727,170.68727,170.68727,170.68727,170.68727,170.68727,170.68727,170.68727,170.68727,211.68727,170.68727,170.68727,170.68727,149.68727,2010-01-25,160.49610333333328
